1004 1  88.677 47.774 47.648 0.0 0.0 
1009 1  34.669 0.0 0.0 0.0 0.0 
1011 1  -0.000 0.0 0.0 -0.000 0.0 
1021 1  83.847 45.172 45.053 0.0 0.0 
1023 1  75.649 40.755 40.648 0.0 0.0 
1026 1  52.197 0.0 0.0 0.0 0.0 
1033 1  116.835 62.944 62.778 0.0 0.0 
1035 1  37.824 0.0 0.0 0.0 0.0 
1039 1  61.993 33.398 33.310 0.0 0.0 
1042 1  68.308 0.0 0.0 -0.000 -0.000 
1048 1  97.560 234.140 188.620 234.140 234.140 
1049 1  97.560 234.140 188.620 234.140 234.140 
1050 1  0.000 0.000 0.000 0.000 0.000 
1051 1  0.000 0.000 0.000 0.000 0.000 
1052 1  0.000 0.000 0.000 0.000 0.000 
1053 1  53.640 103.700 53.640 103.700 103.700 
1057 1  67.243 0.0 0.0 -0.000 -0.000 
1059 1  0.000 0.000 0.000 0.000 0.000 
1060 1  0.000 0.000 0.000 0.000 0.000 
1063 1  115.162 141.167 106.797 -0.000 134.540 
1066 1  59.891 32.266 32.181 0.0 0.0 
1070 1  67.456 36.342 36.246 0.0 0.0 
1072 1  39.148 81.048 100.969 94.682 146.808 
1073 1  57.640 138.330 57.640 111.440 111.440 
1074 1  57.640 138.330 57.640 111.440 111.440 
1075 1  57.640 138.330 57.640 111.440 111.440 
1076 1  57.640 138.330 57.640 111.440 111.440 
1077 1  57.640 138.330 57.640 111.440 111.440 
1078 1  0.000 0.000 0.000 0.000 0.000 
1079 1  0.000 0.000 0.000 0.000 0.000 
1080 1  0.000 0.000 0.000 0.000 0.000 
1081 1  85.950 206.280 166.170 166.170 206.280 
1082 1  63.040 33.963 33.873 0.0 0.0 
1084 1  48.538 0.0 0.0 0.0 0.0 
1088 1  31.520 0.0 0.0 0.0 0.0 
1090 1  30.259 0.0 0.0 0.0 0.0 
2004 1  117.540 117.540 117.540 117.540 117.540 
2005 1  117.540 117.540 117.540 117.540 117.540 
2006 1  117.540 117.540 117.540 117.540 117.540 
2019 1  -0.000 -0.000 183.507 43.304 94.782 
2023 1  0.000 0.000 0.000 0.000 0.000 
2024 1  50.000 96.670 50.000 96.670 96.670 
2056 1  0.000 0.000 0.000 0.000 0.000 
2057 1  274.470 255.431 390.729 183.574 245.496 
2062 1  72.152 59.238 56.301 49.782 72.578 
2071 1  60.864 0.0 31.207 0.0 33.876 
2078 1  45.651 0.0 0.0 0.0 0.0 
2083 1  0.000 0.000 0.000 0.000 0.000 
2084 1  0.000 0.000 0.000 0.000 0.000 
2085 1  0.000 0.000 0.000 0.000 0.000 
2094 1  -0.000 -0.000 0.0 0.0 0.0 
2095 1  -0.000 -0.000 0.0 0.0 0.0 
2100 1  44.363 83.994 85.420 0.0 31.869 
2103 1  80.320 80.320 0.000 80.320 80.320 
2104 1  80.320 80.320 0.000 80.320 80.320 
2105 1  80.320 80.320 0.000 80.320 80.320 
2115 1  55.410 133.000 55.410 107.130 133.000 
2116 1  55.410 133.000 55.410 107.130 133.000 
2117 1  55.410 133.000 55.410 107.130 133.000 
2118 1  55.410 133.000 55.410 107.130 133.000 
2119 1  55.410 133.000 55.410 107.130 133.000 
2120 1  55.410 133.000 55.410 107.130 133.000 
2127 1  31.895 108.063 164.493 83.061 65.513 
3017 1  71.238 38.379 38.278 0.0 0.0 
3020 1  63.040 33.963 33.873 0.0 0.0 
3028 1  81.152 0.0 41.609 0.0 45.168 
3034 1  54.842 0.0 0.0 0.0 0.0 
3039 1  87.836 47.321 47.197 0.0 0.0 
3043 1  0.000 0.000 0.000 0.000 0.000 
3044 1  0.000 0.000 0.000 0.000 0.000 
3045 1  134.100 134.100 134.100 134.100 134.100 
3048 1  101.285 54.567 54.423 0.0 0.0 
3055 1  103.039 55.512 55.365 0.0 0.0 
3056 1  103.039 55.512 55.365 0.0 0.0 
3057 1  103.039 55.512 55.365 0.0 0.0 
3060 1  69.608 37.501 37.402 0.0 0.0 
3061 1  69.608 37.501 37.402 0.0 0.0 
3062 1  69.608 37.501 37.402 0.0 0.0 
3063 1  69.608 37.501 37.402 0.0 0.0 
3065 1  33.829 0.0 0.0 0.0 0.0 
3068 1  63.040 33.963 33.873 0.0 0.0 
3071 1  71.530 38.536 38.435 0.0 0.0 
3074 1  41.943 0.0 0.0 0.0 0.0 
3081 1  104.647 56.378 56.229 0.0 0.0 
3084 1  97.710 52.641 52.502 0.0 0.0 
3086 1  31.520 0.0 0.0 0.0 0.0 
3087 1  42.027 0.0 0.0 -0.000 -0.000 
3092 1  84.054 45.284 45.164 0.0 0.0 
3095 1  50.685 0.0 0.0 0.0 0.0 
3098 1  67.243 36.227 36.131 0.0 0.0 
3106 1  64.520 48.861 68.984 22.529 20.172 
3110 1  35.303 0.0 0.0 0.0 0.0 
3112 1  31.436 0.0 0.0 0.0 0.0 
3113 1  31.436 0.0 0.0 0.0 0.0 
3118 1  50.432 0.0 0.0 0.0 0.0 
3122 1  82.793 44.604 44.487 0.0 0.0 
3127 1  56.736 30.566 30.486 0.0 0.0 
3129 1  53.167 0.0 0.0 0.0 0.0 
3131 1  47.911 0.0 0.0 0.0 0.0 
3133 1  0.000 0.000 0.000 0.000 0.000 
3137 1  42.531 0.0 0.0 0.0 0.0 
3141 1  38.452 0.0 0.0 0.0 0.0 
4010 1  84.726 45.646 45.526 0.0 0.0 
4026 1  123.000 123.000 123.000 123.000 123.000 
4030 1  92.349 223.336 81.654 55.207 291.284 
4047 1  61.346 38.025 80.612 0.0 38.025 
4050 1  84.054 45.284 45.164 0.0 0.0 
4052 1  0.000 0.000 0.000 0.000 0.000 
4058 1  43.200 83.520 43.200 83.520 83.520 
4059 1  43.200 83.520 43.200 83.520 83.520 
4060 1  43.200 83.520 43.200 83.520 83.520 
4061 1  51.700 124.080 51.700 99.950 99.950 
4062 1  51.700 124.080 51.700 99.950 99.950 
4063 1  51.700 124.080 51.700 99.950 99.950 
4065 1  0.000 0.000 0.000 0.000 0.000 
4075 1  0.000 0.000 0.000 0.000 0.000 
4076 1  0.000 0.000 0.000 0.000 0.000 
4077 1  0.000 0.000 0.000 0.000 0.000 
4082 1  141.170 175.250 141.170 175.250 175.250 
4083 1  141.170 175.250 141.170 175.250 175.250 
4084 1  141.170 175.250 141.170 175.250 175.250 
4085 1  204.160 302.720 204.160 253.440 302.720 
4090 1  0.000 0.000 0.000 0.000 0.000 
4091 1  0.000 0.000 0.000 0.000 0.000 
4092 1  0.000 0.000 0.000 0.000 0.000 
4093 1  0.000 0.000 0.000 0.000 0.000 
